M7	M8	M9	M10	M1	M11	M2	M12	M3	M4	M5	M6	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
9426.900390625	6709.7998046875	8608.599609375	6094.10009765625	7511.2998046875	4229	6450.10009765625	6975.10009765625	8696.599609375	8232.900390625	9172.599609375	11463	2	2	2	5.5	5.5	5.5	55.957	0	83.157	1	Q8K2D3	Q8K2D3	Enhancer of mRNA-decapping protein 3	Edc3	4467
55279	31144	43837	35682	45927	37228	57014	57776	54425	49939	45576	53109	9	9	6	18.3	18.3	10.9	79.761	0	323.31	6	Q8K2F0;Q8K2F0-2	Q8K2F0;Q8K2F0-2	Bromodomain-containing protein 3	Brd3	4468
NaN	659.669982910156	874.77001953125	NaN	545.960021972656	1017.59997558594	905.580017089844	846.739990234375	1308.40002441406	NaN	NaN	NaN	7	7	7	12.1	12.1	12.1	50.545	0	50.453	4	Q8K2F8	Q8K2F8	Protein LSM14 homolog A	Lsm14a	4469
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	5	5	9.7	9.7	9.7	43.835	0	59.474	0	Q8K2H1;Q8K2H1-2	Q8K2H1;Q8K2H1-2	Periphilin-1	Pphln1	4470
NaN	NaN	NaN	NaN	NaN	4183.39990234375	7213.10009765625	NaN	6298.2001953125	NaN	9006.7001953125	11062	3	3	3	13.3	13.3	13.3	33.758	0	10.256	2	Q8K2H2	Q8K2H2	OTU domain-containing protein 6B	Otud6b	4471
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	3.6	3.6	3.6	97.053	0	20.317	0	Q8K2H3	Q8K2H3	Protein FAM13B	Fam13b	4472
12524	10424	12222	9737.7998046875	15678	10937	18016	11970	20162	15336	16440	12718	2	2	2	14.6	14.6	14.6	21.266	0	5.7678	3	Q8K2H6	Q8K2H6	Anaphase-promoting complex subunit 10	Anapc10	4473
66030	51602	78335	46683	55492	42756	88959	94870	113880	54409	88024	108770	3	3	3	11.9	11.9	11.9	48.819	0	125.43	3	Q8K2I1	Q8K2I1	Protein farnesyltransferase subunit beta	Fntb	4474
11114	11736	25942	10653	9125.7001953125	15738	23114	25739	36413	8504.2998046875	22100	46452	2	2	2	4.3	4.3	4.3	60.974	0.0019847	2.5692	5	Q8K2I3	Q8K2I3	Dimethylaniline monooxygenase [N-oxide-forming] 2	Fmo2	4475
819730	294470	729330	568070	598270	358620	484540	815000	710330	632390	438600	837440	12	12	12	17.3	17.3	17.3	100.83	0	39.365	16	Q8K2I4	Q8K2I4	Beta-mannosidase	Manba	4476
10549	7894.7998046875	11629	11065	8972.7998046875	13247	17963	17354	17600	10933	14854	21539	4	4	4	8.3	8.3	8.3	88.606	0	323.31	3	Q8K2J0	Q8K2J0	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	Plcd3	4477
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	12.1	12.1	12.1	29.351	0	52.479	1	Q8K2J7;Q8K2J7-2	Q8K2J7;Q8K2J7-2	RELT-like protein 1	Rell1	4478
124600	118610	164210	97683	116050	125870	161000	200290	207120	133650	154220	226780	5	5	5	7.7	7.7	7.7	58.042	0	323.31	6	Q8K2K6;Q8K2K6-3;Q8K2K6-2;Q8K2K6-1	Q8K2K6;Q8K2K6-3;Q8K2K6-2;Q8K2K6-1	Arf-GAP domain and FG repeat-containing protein 1	Agfg1	4479
58929	51100	58549	47357	50197	53031	77898	60026	85415	63093	71252	76916	5	5	5	8.5	8.5	8.5	87.693	0	26.693	5	Q8K2L8	Q8K2L8	Trafficking protein particle complex subunit 12	Trappc12	4480
57309	56600	59656	53182	60339	48487	68896	59981	66041	53905	67968	68740	4	4	4	14.7	14.7	14.7	41.278	0	15.914	6	Q8K2M0-2;Q8K2M0	Q8K2M0-2;Q8K2M0	39S ribosomal protein L38, mitochondrial	Mrpl38	4481
68297	42082	70929	73521	76327	54009	112930	81031	117270	93629	112810	158460	5	5	5	33	33	33	23.728	0	323.31	4	Q8K2P1	Q8K2P1	Leucine rich adaptor protein 1-like	Lurap1l	4482
121820	163690	158860	113980	134890	147260	281390	206190	235310	164570	279440	309450	6	6	5	12.2	12.2	9.7	46.201	0	24.199	7	Q8K2Q7;Q8K2Q7-2	Q8K2Q7	BRO1 domain-containing protein BROX	Brox	4483
61474	27741	13466	48719	44743	31165	23931	16933	19189	53847	26033	20976	1	1	1	3.2	3.2	3.2	71.342	0	23.99	2	Q8K2Q9	Q8K2Q9	Shootin-1	Kiaa1598	4484
133450	102490	110570	118110	107710	84384	132160	134410	130590	129700	155080	155700	6	6	6	31.4	31.4	31.4	34.376	0	36.687	8	Q8K2T1;Q8K2T1-2;Q8K2T1-3	Q8K2T1;Q8K2T1-2;Q8K2T1-3	NmrA-like family domain-containing protein 1	Nmral1	4485
18028	15186	20364	17561	19832	17686	24192	26296	24391	21962	22362	29595	2	2	2	4.3	4.3	4.3	60.518	0	5.801	4	Q8K2T8	Q8K2T8	RNA polymerase II-associated factor 1 homolog	Paf1	4486
6739.5	8523.599609375	8122.7998046875	8397.2998046875	8478.5	7743.7998046875	11762	8074	10300	7903	10367	9905	2	2	2	8.8	8.8	8.8	26.776	0	5.2058	3	Q8K2U2	Q8K2U2	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	Alkbh6	4487
2310.19995117188	2772.60009765625	2788.80004882813	2661.60009765625	3128.69995117188	4123.39990234375	4946.7001953125	3181.19995117188	4325.7998046875	3079.5	2658.69995117188	2943.80004882813	5	5	5	5.6	5.6	5.6	106.3	0	62.965	5	Q8K2V1;Q8K2V1-2	Q8K2V1	Serine/threonine-protein phosphatase 4 regulatory subunit 1	Ppp4r1	4488
411540	343490	429170	280980	332650	374340	522510	460620	417730	375600	520630	438280	3	3	3	3.8	3.8	3.8	112.41	0	9.8614	6	Q8K2V6;Q8K2V6-2	Q8K2V6;Q8K2V6-2	Importin-11	Ipo11	4489
69770	49326	65174	51644	61254	52795	77580	77426	89105	67235	76134	90397	4	4	4	10.6	10.6	10.6	43.485	0	31.73	6	Q8K2X3	Q8K2X3	CST complex subunit STN1	Obfc1	4490
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1.9	1.9	1.9	79.957	0	25.198	0	Q8K2Y0	Q8K2Y0	RING finger protein 219	Rnf219	4491
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	28	28	28	18.291	0	323.31	0	Q8K2Y3	Q8K2Y3	Protein eva-1 homolog B	Eva1b	4492
179090	126710	143900	124130	154710	127110	221970	188800	203420	163590	316780	220270	4	4	4	16.3	16.3	16.3	29.725	0	10.083	5	Q8K2Y7	Q8K2Y7	39S ribosomal protein L47, mitochondrial	Mrpl47	4493
93318	62657	102450	72149	57987	79851	120190	104180	130030	81994	93558	114100	9	9	9	21.2	21.2	21.2	49.917	0	323.31	1	Q8K2Y9;Q8K2Y9-2	Q8K2Y9;Q8K2Y9-2	Cerebral cavernous malformations protein 2 homolog	Ccm2	4494
53832	40444	62665	33060	45542	41643	68833	64899	68802	44223	67336	90694	2	2	2	3.9	3.9	3.9	77.92	0	4.5947	3	Q8K2Z2;Q8K2Z2-2	Q8K2Z2;Q8K2Z2-2	Pre-mRNA-processing factor 39	Prpf39	4495
51244	21274	28382	36075	37637	23025	29427	38393	31809	30922	29038	32383	4	4	4	4.2	4.2	4.2	155.66	0	99.53	3	Q8K2Z4;Q8K2Z4-2	Q8K2Z4;Q8K2Z4-2	Condensin complex subunit 1	Ncapd2	4496
1264.19995117188	1500.80004882813	1203.69995117188	1255	1262.30004882813	1559.69995117188	1986.30004882813	1414.5	1407.40002441406	1115.90002441406	1827	1307.09997558594	1	1	1	3.9	3.9	3.9	40.627	0	8.0316	1	Q8K304;Q8K304-2	Q8K304;Q8K304-2	E3 ubiquitin-protein ligase TM129	Tmem129	4497
1967200	1563900	1859300	1217400	1939100	1556600	2630800	2352100	2402100	2236100	2614300	2960200	22	22	22	30	30	30	94.629	0	323.31	30	Q8K310	Q8K310	Matrin-3	Matr3	4498
11192	11298	11662	8674.400390625	12310	7986.39990234375	14408	13490	19103	14213	15053	18936	8	8	8	11.7	11.7	11.7	87.56	0	293.33	1	Q8K327	Q8K327	Chromosome alignment-maintaining phosphoprotein 1	Champ1	4499
30388	15996	16823	22088	17946	13352	15152	23164	29120	23549	12885	23795	6	6	6	16.3	16.3	16.3	72.227	0	323.31	2	Q8K330;Q8K330-2	Q8K330;Q8K330-2	Protein phosphatase Slingshot homolog 3	Ssh3	4500
1723.80004882813	2400.80004882813	2527.39990234375	NaN	1235	NaN	2652.89990234375	1960	2548.39990234375	1213.09997558594	2313.60009765625	2085.89990234375	2	2	2	3.3	3.3	3.3	112.76	0.00047103	3.1278	3	Q8K337;Q8K337-2	Q8K337;Q8K337-2	Type II inositol 1,4,5-trisphosphate 5-phosphatase	Inpp5b	4501
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	9	9	9	47.163	0	176.17	0	Q8K341;Q8K341-2;Q8K341-5;Q8K341-4;Q8K341-3	Q8K341;Q8K341-2;Q8K341-5;Q8K341-4;Q8K341-3	Alpha-tubulin N-acetyltransferase 1	Atat1	4502
882470	760540	1099200	684360	988180	751680	1423100	1397100	1689600	1088300	1370700	1965500	19	19	18	76.5	76.5	73.6	30.953	0	323.31	33	Q8K354	Q8K354	Carbonyl reductase [NADPH] 3	Cbr3	4503
53790	57175	53865	46053	46873	47522	73005	57995	63670	63053	74002	66476	1	1	1	2.3	2.3	2.3	49.804	0.0095735	1.8549	3	Q8K358	Q8K358	Phosphatidylinositol glycan anchor biosynthesis class U protein	Pigu	4504
58223	32128	51012	38966	61230	42218	70872	64273	68935	64312	68731	54940	4	4	4	9.5	9.5	9.5	74.18	0	23.699	7	Q8K363	Q8K363	ATP-dependent RNA helicase DDX18	Ddx18	4505
19239	15818	11611	14334	16799	14349	23356	13102	15014	15835	21831	17325	4	4	4	5.3	5.3	5.3	118.98	0	8.54	5	Q8K370	Q8K370	Acyl-CoA dehydrogenase family member 10	Acad10	4506
93330	86911	92578	73760	98488	85902	137040	124660	176950	106090	131850	175800	15	15	15	36.1	36.1	36.1	85.277	0	323.31	12	Q8K371	Q8K371	Angiomotin-like protein 2	Amotl2	4507
6440.5	5115.60009765625	4647.5	3726.10009765625	2293.60009765625	4761.39990234375	7495.7998046875	7135.89990234375	5676.5	4077	5741	9046.7001953125	8	8	8	11.8	11.8	11.8	111.54	0	323.31	4	Q8K382	Q8K382	DENN domain-containing protein 1A	Dennd1a	4508
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	0.8	0.8	0.8	205.94	0	38.634	0	Q8K389	Q8K389	CDK5 regulatory subunit-associated protein 2	Cdk5rap2	4509
110620	97828	116520	112740	105810	129810	157090	182520	152390	130210	191450	157770	2	2	2	12	12	12	26.645	0	6.694	2	Q8K3A0	Q8K3A0	Iron-sulfur cluster co-chaperone protein HscB, mitochondrial	Hscb	4510
1614	1758.40002441406	2455.80004882813	1590.90002441406	2301.60009765625	2199.80004882813	1970.90002441406	2539.80004882813	2333.69995117188	2460.5	2510.19995117188	1617.69995117188	3	3	3	6	6	6	72.05	0	29.907	4	Q8K3A9	Q8K3A9	7SK snRNA methylphosphate capping enzyme	Mepce	4511
1852.80004882813	2767.30004882813	2610.80004882813	1932.59997558594	2360	1688.80004882813	2534.89990234375	3306.30004882813	3758.60009765625	2127.80004882813	2086.10009765625	2505.5	2	2	2	8.7	8.7	8.7	30.604	0.00062383	3.006	2	Q8K3B1	Q8K3B1	F-box/SPRY domain-containing protein 1	Fbxo45	4512
489650	362210	552930	342990	414510	367320	613280	581840	676550	408870	644540	903040	1	1	1	11.1	11.1	11.1	21.536	0	4.7689	1	Q8K3C3	Q8K3C3	Protein LZIC	Lzic	4513
168430	122380	151260	125840	148870	128890	199190	202890	205810	168710	199240	242030	3	3	3	37.2	37.2	37.2	13.828	0	323.31	3	Q8K3D3-2;Q8K3D3	Q8K3D3-2	DNA repair protein SWI5 homolog	Swi5	4514
4426.89990234375	3130.60009765625	5222.5	3443.89990234375	2659.10009765625	2771.39990234375	4182.2998046875	5108.60009765625	4597.7998046875	4114.89990234375	2440.89990234375	3799.19995117188	2	2	2	2.1	2.1	2.1	119.65	0.001838	2.6246	1	Q8K3E5;Q8K3E5-2	Q8K3E5;Q8K3E5-2	Jouberin	Ahi1	4515
197010	110420	206220	183660	167220	121200	181220	239470	218930	185970	169290	236300	6	6	6	16.5	16.5	16.5	73.853	0	39.178	8	Q8K3G9	Q8K3G9	DCC-interacting protein 13-beta	Appl2	4516
631660	533550	650950	496950	578440	544300	774840	769420	885970	597050	755170	997010	12	12	12	27.7	27.7	27.7	79.327	0	323.31	19	Q8K3H0	Q8K3H0	DCC-interacting protein 13-alpha	Appl1	4517
8425.400390625	7259.7001953125	5474.2998046875	6949.5	7683.10009765625	6117.10009765625	11768	6476.2998046875	7752.7001953125	8213	11042	9374.5	6	6	6	19.4	19.4	19.4	57.478	0	323.31	2	Q8K3I9;Q8K3I9-3;Q8K3I9-2	Q8K3I9;Q8K3I9-3;Q8K3I9-2	Glucocorticoid-induced transcript 1 protein	Glcci1	4518
109050	104910	88366	70350	63908	68960	95065	143570	91079	94160	95867	140820	5	5	5	23.1	23.1	23.1	24.038	0	30.203	8	Q8K3J1	Q8K3J1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	Ndufs8	4519
739.330017089844	NaN	NaN	NaN	NaN	NaN	1209.5	1562.30004882813	1337.69995117188	NaN	867.049987792969	744.440002441406	3	3	3	8	8	8	67.017	0	13.097	1	Q8K3K8	Q8K3K8	Optineurin	Optn	4520
42204	34697	43155	28350	34755	40628	51899	49001	54156	41910	46382	48038	6	6	6	17	17	17	43.544	0	17.113	7	Q8K3W0;Q8K3W0-1;Q8K3W0-6;Q8K3W0-5;Q8K3W0-4	Q8K3W0;Q8K3W0-1;Q8K3W0-6;Q8K3W0-5	BRCA1-A complex subunit BRE	Bre	4521
39561	27329	30180	27825	40565	29281	43668	36547	42044	42622	40731	47935	8	8	8	19.3	19.3	19.3	75.769	0	323.31	7	Q8K3W3	Q8K3W3	Protein CASC3	Casc3	4522
289250	186360	233630	249130	191470	231240	247160	291820	250510	277510	205210	233180	18	15	15	20.3	17.9	17.9	80.564	0	323.31	6	Q8K3X4	Q8K3X4	Interferon regulatory factor 2-binding protein-like	Irf2bpl	4523
3444.10009765625	2315.80004882813	3245.19995117188	3878	2753.10009765625	3575.5	4764.10009765625	4662	4568	4324.2998046875	5328.89990234375	3427.69995117188	8	8	8	8.4	8.4	8.4	121.02	0	248.22	4	Q8K3Z9	Q8K3Z9	Nuclear envelope pore membrane protein POM 121	Pom121	4524
2261.69995117188	1860.59997558594	1959.69995117188	1462.59997558594	2091.30004882813	2484.89990234375	2074.89990234375	3145.89990234375	3853.30004882813	2139.80004882813	2015.40002441406	3113.5	8	8	8	9.7	9.7	9.7	127.65	0	202.03	2	Q8K400;Q8K400-2	Q8K400	Syntaxin-binding protein 5	Stxbp5	4525
8549.2001953125	5798.7998046875	8412	8209.400390625	9960.099609375	9155.2998046875	12586	7183.60009765625	9705.900390625	10081	8424.7001953125	12451	1	1	1	4.5	4.5	4.5	38.287	0.005163	2.1289	1	Q8K409	Q8K409	DNA polymerase beta	Polb	4526
720200	621300	813260	562560	640560	643600	1037800	944120	921910	679170	954190	1010300	17	17	17	25.3	25.3	25.3	117.37	0	132.78	36	Q8K411;Q8K411-2;Q8K411-3	Q8K411;Q8K411-2;Q8K411-3	Presequence protease, mitochondrial	Pitrm1	4527
7904.5	1888	1344.5	5861.39990234375	2159.10009765625	2929.69995117188	3801.80004882813	2435.69995117188	3002.69995117188	3888.10009765625	3962.19995117188	3382.19995117188	1	1	1	1.4	1.4	1.4	183.04	0	6.4327	3	Q8K440;Q8K440-2	Q8K440;Q8K440-2	ATP-binding cassette sub-family A member 8-B	Abca8b	4528
1717.80004882813	1409.09997558594	2916.39990234375	1151.19995117188	NaN	1468.5	2841.39990234375	3383.60009765625	2974.89990234375	1256.80004882813	3166.80004882813	3824.60009765625	1	1	1	1.2	1.2	1.2	183.28	0.00031576	3.2417	1	Q8K441	Q8K441	ATP-binding cassette sub-family A member 6	Abca6	4529
76910	134500	148750	57757	51718	133800	150180	166370	124740	62476	145110	159710	2	2	2	11.5	11.5	11.5	25.436	0	5.7746	5	Q8K479	Q8K479	Complement C1q tumor necrosis factor-related protein 5	C1qtnf5	4530
500970	320440	1075800	383730	625250	380160	956450	1082300	1375000	652730	793840	1604100	23	23	23	21.5	21.5	21.5	117.31	0	323.31	46	Q8K482	Q8K482	EMILIN-2	Emilin2	4531
207810	128460	192580	149160	153890	156970	181290	209920	187570	159330	197800	219830	10	9	9	13.7	12.3	12.3	80.797	0	306.66	8	Q8K4B0	Q8K4B0	Metastasis-associated protein MTA1	Mta1	4532
7928.39990234375	NaN	9243.7001953125	5394.2001953125	NaN	4634.2998046875	15548	8867.7998046875	15747	8856.2001953125	10385	16348	1	1	1	4.4	4.4	4.4	68.455	0	4.7787	1	Q8K4B2	Q8K4B2	Interleukin-1 receptor-associated kinase 3	Irak3	4533
4758.7998046875	8598.599609375	13559	2398.30004882813	6164	8635.5	12702	15942	19647	12953	14324	17922	1	1	1	7.2	7.2	7.2	52.465	0	107.15	3	Q8K4D3	Q8K4D3	Proton-coupled amino acid transporter 1	Slc36a1	4534
49237	36385	55562	44814	57240	50143	66851	61684	46829	47105	38076	26827	2	2	2	7.2	7.2	7.2	33.56	0.0099884	1.8335	2	Q8K4F5	Q8K4F5	Alpha/beta hydrolase domain-containing protein 11	Abhd11	4535
139370	33738	27220	95216	82281	35274	44754	23151	24167	84920	39392	30133	11	11	11	9.8	9.8	9.8	178.64	0	132.34	12	Q8K4G1;Q8K4G1-2;Q8K4G1-3	Q8K4G1;Q8K4G1-2;Q8K4G1-3	Latent-transforming growth factor beta-binding protein 4	Ltbp4	4536
3055	8162.5	12486	9109.900390625	4296.89990234375	3545	14634	3352.89990234375	13572	12266	14332	19692	13	13	13	15.2	15.2	15.2	96.804	0	323.31	3	Q8K4G5;Q8K4G5-2;Q8K4G5-4;Q8K4G5-3;Q8K4G5-5	Q8K4G5;Q8K4G5-2;Q8K4G5-4;Q8K4G5-3	Actin-binding LIM protein 1	Ablim1	4537
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	2	2	5.8	4.2	4.2	87.051	0	24.549	0	Q8K4I3	Q8K4I3	Rho guanine nucleotide exchange factor 6	Arhgef6	4538
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	3.4	3.4	3.4	78.833	0	24.164	0	Q8K4J0;Q8K4J0-2;Q8K4J0-3	Q8K4J0;Q8K4J0-2;Q8K4J0-3	Protein artemis	Dclre1c	4539
12407	11618	16612	8961.099609375	8975.2001953125	10420	21501	20388	17570	9877.900390625	19749	18737	7	7	7	9.3	9.3	9.3	102.54	0	104.57	5	Q8K4J6;Q8K4J6-2	Q8K4J6;Q8K4J6-2	MKL/myocardin-like protein 1	Mkl1	4540
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	4.4	4.4	4.4	60.091	0	273.74	0	Q8K4K6	Q8K4K6	Pantothenate kinase 1	Pank1	4541
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	8	8	9.4	9.4	9.4	97.747	0	323.31	1	Q8K4L0	Q8K4L0	ATP-dependent RNA helicase DDX54	Ddx54	4542
1480600	1711600	2346300	1269400	1512900	1666700	2825000	2877000	2949600	1825700	2697900	3148000	76	76	11	37.7	37.7	5.9	243.16	0	323.31	96	Q8K4L3	Q8K4L3	Supervillin	Svil	4543
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69	4	4	42	2.8	2.8	198.53	0	323.31	0	Q8K4L3-3	Q8K4L3-3	Supervillin	Svil	4544
15188	10992	19251	8104.7001953125	13541	13016	26917	22289	23582	11934	20533	20657	3	3	3	13.3	13.3	13.3	20.996	0	6.7806	4	Q8K4M5	Q8K4M5	COMM domain-containing protein 1	Commd1	4545
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	1.1	1.1	1.1	145.27	0	56.45	0	Q8K4P0	Q8K4P0	pre-mRNA 3 end processing protein WDR33	Wdr33	4546
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	0.8	0.8	0.8	179.47	0	105.37	0	Q8K4P8;Q8K4P8-4;Q8K4P8-3;Q8K4P8-2	Q8K4P8;Q8K4P8-4;Q8K4P8-3;Q8K4P8-2	E3 ubiquitin-protein ligase HECW1	Hecw1	4547
164300	120250	162350	144430	158730	155700	202760	183540	202950	186480	186980	242170	9	9	9	6.8	6.8	6.8	149.47	0	167.11	8	Q8K4Q0;Q8K4Q0-4;Q8K4Q0-2;Q8K4Q0-5;Q8K4Q0-3	Q8K4Q0	Regulatory-associated protein of mTOR	Rptor	4548
423740	414660	816310	359900	382540	456760	637370	953010	898480	468320	585700	884530	12	12	11	16.3	16.3	16.2	81.303	0	312.71	16	Q8K4Q8	Q8K4Q8	Collectin-12	Colec12	4549
7380.89990234375	16093	21989	7378.5	16360	20299	27082	25170	19281	13459	16184	16654	3	3	3	13.6	13.6	13.6	38.383	0	96.099	3	Q8K4R4;Q8K4R4-4;Q8K4R4-3;Q8K4R4-2	Q8K4R4;Q8K4R4-4;Q8K4R4-3;Q8K4R4-2	Cytoplasmic phosphatidylinositol transfer protein 1	Pitpnc1	4550
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	6.1	6.1	6.1	90.195	0	90.84	1	Q8K4R9;Q8K4R9-2;Q8K4R9-3	Q8K4R9;Q8K4R9-2;Q8K4R9-3	Disks large-associated protein 5	Dlgap5	4551
139820	127500	144990	98543	118550	143210	192880	169190	192130	142600	187480	193590	8	8	7	22.8	22.8	20.6	43.81	0	18.553	8	Q8K4X7	Q8K4X7	1-acyl-sn-glycerol-3-phosphate acyltransferase delta	Agpat4	4552
857780	496830	628030	571510	650800	543020	871870	790060	822880	732630	777520	919080	9	9	9	34.4	34.4	34.4	30.972	0	323.31	21	Q8K4Z3	Q8K4Z3	NAD(P)H-hydrate epimerase	Apoa1bp	4553
749400	535900	700190	608580	725040	571080	835550	806650	797480	793050	767610	978070	18	18	17	21.9	21.9	19.3	88.544	0	323.31	39	Q8K4Z5	Q8K4Z5	Splicing factor 3A subunit 1	Sf3a1	4554
13139	10048	9737.900390625	6927.7001953125	9866.900390625	7172.60009765625	14156	11024	13545	9078.900390625	18687	16245	1	1	1	11.7	11.7	11.7	16.168	0	17.9	2	Q8K5B2	Q8K5B2	Multiple coagulation factor deficiency protein 2 homolog	Mcfd2	4555
327050	239600	262930	248810	290190	245140	360530	346540	334280	317850	326970	369940	9	9	9	22.7	22.7	22.7	66.031	0	323.31	12	Q8N7N5;Q8N7N5-2	Q8N7N5;Q8N7N5-2	DDB1- and CUL4-associated factor 8	Dcaf8	4556
15114	18037	17263	11969	12934	18878	22307	24452	21272	14634	23523	29454	2	2	2	7.4	7.4	7.4	62.439	0	46.568	1	Q8N7N6	Q8N7N6		Traf3ip2	4557
3365.19995117188	2279.80004882813	3464.5	2027.09997558594	2215.60009765625	1890.80004882813	2466.19995117188	2392.30004882813	4863.7998046875	2931.80004882813	2809.5	2057.5	1	1	1	3.2	3.2	3.2	31.524	0.0028632	2.3758	2	Q8QZR4	Q8QZR4	Out at first protein homolog	Oaf	4558
298300	203970	306880	230960	237820	283310	382100	358280	383020	251030	347720	370940	9	9	9	23.1	23.1	23.1	43.037	0	35.366	15	Q8QZS1	Q8QZS1	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	Hibch	4559
21816	17810	23608	16626	23376	17509	32713	27109	27381	24114	26189	30749	2	2	2	5.7	5.7	5.7	64.327	0	14.57	1	Q8QZS3	Q8QZS3	Folliculin	Flcn	4560
2488500	1653300	1822300	1797400	2000200	1694300	2494400	2272400	2717900	2134200	2638000	2969900	13	13	13	41	41	41	44.816	0	199.37	41	Q8QZT1	Q8QZT1	Acetyl-CoA acetyltransferase, mitochondrial	Acat1	4561
10085	6515.7001953125	6750.2998046875	16436	18907	8037.5	8661.2001953125	18550	12760	9696.7998046875	6140	10354	5	5	5	6.8	6.8	6.8	82.779	0	6.1468	4	Q8QZV7	Q8QZV7	Protein asunder homolog	Asun	4562
3060800	2370300	2931600	2478200	3117400	2598500	3991900	3759500	4130700	3255200	3802900	4193700	16	16	16	33.5	33.5	33.5	66.612	0	73.655	45	Q8QZY1	Q8QZY1	Eukaryotic translation initiation factor 3 subunit L	Eif3l	4563
15488	6875	18130	8207	13118	8041.2998046875	18717	19295	21131	12015	15093	19812	1	1	1	3.3	3.3	3.3	44.355	0	4.9625	1	Q8QZY9	Q8QZY9	Splicing factor 3B subunit 4	Sf3b4	4564
21188	29019	30327	15420	26483	22624	42996	41113	45599	36675	32061	43717	1	1	1	14.9	14.9	14.9	19.556	0	11.021	2	Q8QZZ7	Q8QZZ7	EKC/KEOPS complex subunit Tprkb	Tprkb	4565
322980	351980	386740	286150	305330	340610	549740	476350	445620	326160	431620	457040	9	8	8	42.9	39.9	39.9	36.946	0	109.7	9	Q8R001;Q8R001-2	Q8R001;Q8R001-2	Microtubule-associated protein RP/EB family member 2	Mapre2	4566
1124800	957850	922220	775340	968040	1089700	1325000	1175700	1226300	938880	1304800	1418300	6	6	6	25.3	25.3	25.3	35.377	0	323.31	13	Q8R010	Q8R010	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	Aimp2	4567
98784	95748	121900	89720	87808	92629	143940	135570	159750	108220	135520	166320	7	7	6	44.9	44.9	44.3	21.283	0	22.515	7	Q8R015;Q8R015-2	Q8R015;Q8R015-2	Biogenesis of lysosome-related organelles complex 1 subunit 5	Bloc1s5	4568
541760	270020	481760	460240	419160	374160	406640	518230	467640	455660	351690	457210	6	6	6	19.6	19.6	19.6	52.511	0	202.07	10	Q8R016	Q8R016	Bleomycin hydrolase	Blmh	4569
90059	73167	73820	82800	97520	76193	128670	106890	124000	94977	129170	128710	4	4	4	22.8	22.8	22.8	23.477	0	14.688	5	Q8R035;Q8R035-2	Q8R035;Q8R035-2	Peptidyl-tRNA hydrolase ICT1, mitochondrial	Ict1	4570
1880300	1770800	1521700	1470400	1866000	1672600	2263500	1843400	2029000	2037800	2529400	2379300	13	13	6	26.4	26.4	13.2	68.625	0	70.219	19	Q8R050;Q8R050-2	Q8R050;Q8R050-2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	Gspt1	4571
185510	65086	90672	167470	169940	77363	101120	91294	119790	192470	93770	84786	3	3	3	13.5	13.5	13.5	38.224	0	18.748	3	Q8R059	Q8R059	UDP-glucose 4-epimerase	Gale	4572
42424	33741	30035	37229	31062	35201	38855	37299	42456	35385	40145	49816	2	2	2	6.7	6.7	6.7	52.968	0	5.9335	3	Q8R079;Q8R079-2	Q8R079;Q8R079-2	Bifunctional apoptosis regulator	Bfar	4573
